loss,accuracy,val_loss,val_accuracy
1.0304151773452759,0.5675675868988037,0.6861137747764587,0.421875
1.2392491102218628,0.5057914853096008,0.2789396345615387,0.9375
0.521758496761322,0.7953668236732483,0.277998149394989,0.9375
0.46904969215393066,0.760617733001709,0.2396804541349411,0.9375
0.2891399562358856,0.8648648858070374,0.13092049956321716,0.96875
0.2712053954601288,0.8823529481887817,0.10788409411907196,1.0
0.23328891396522522,0.9305019378662109,0.09912744164466858,0.984375
0.22442513704299927,0.92277991771698,0.14693066477775574,0.984375
0.19375579059123993,0.9189189076423645,0.08046227693557739,0.984375
0.20040491223335266,0.9189189076423645,0.2098347544670105,0.9375
